,name,x_coord,orig_length,masked_length,trimmed_length,frac_to_frac_length,p10_frac,p10_trimmed
0,scan_v1,0.045901611607034154,0.957,0.957,0.8137074191446275,0.7924151524773871,8.83375334017197,8.602600683373918
1,scan_v2,0.09590161160703416,0.957,0.957,0.8438971937993414,0.7843523170454823,20.39899628303413,18.959655414856634
2,scan_v3,0.14590161160703416,0.957,0.957,0.8740869684540554,0.7701541044522541,19.47662151416857,17.160763792794658
3,scan_v4,0.19590161160703418,0.957,0.957,0.9042767431087693,0.7487815797247678,16.026035261725966,13.270273830935627
4,scan_v5,0.24590161160703417,0.957,0.957,0.9314890880460565,0.7046702494638866,17.029241704371096,12.882598576835582
5,scan_v6,0.29590161160703415,0.957,0.957,0.9525367745113136,0.9250690532602094,14.05300496669331,13.64776704465765
6,scan_v7,0.3459016116070342,0.957,0.957,0.9498140634177799,0.9311849912011644,25.773611287529082,25.26810343662336
7,scan_v8,0.3959016116070342,0.957,0.957,0.9470913523242462,0.9206688677495708,16.29250268521094,15.83796532740867
8,scan_v9,0.4459016116070342,0.957,0.957,0.9443686412307125,0.8290371217231294,21.711934880054017,19.06035335580625
9,scan_v10,0.49590161160703417,0.957,0.957,0.9416459301371788,0.8199358320262804,20.733329775317248,18.053494902827694
10,scan_v11,0.5459016116070341,0.957,0.957,0.9389232190436451,0.823147974254475,15.793029208113035,13.845647584731532
11,scan_v12,0.5959016116070341,0.957,0.957,0.9362005079501113,0.6869965632789667,8.73366814436828,6.408883512718336
12,scan_v13,0.6459016116070342,0.957,0.957,0.931218926680878,0.6718591430488966,5.953628883947313,4.295445340932993
13,scan_v14,0.6959016116070342,0.957,0.957,0.925592903767621,0.7547520447225591,14.57432288778166,11.884274344827578
14,scan_v15,0.7459016116070343,0.957,0.957,0.9183891150672601,0.6727595621811199,17.836981701301138,13.066356953850827
15,scan_v16,0.7959016116070341,0.957,0.957,0.9047610875024739,0.6506206093395709,7.684970208790924,5.526320781325964
16,scan_v17,0.8459016116070341,0.957,0.957,0.8457519829469329,0.616653859516519,11.351587105103464,8.27665809970583
17,scan_v18,0.8959016116070342,0.957,0.957,0.7867428783913917,0.7464501776231232,16.076089683856576,15.252759611292213
18,scan_v19,0.9459016116070342,0.957,0.957,0.7277337738358506,0.7209818192305506,11.095980212840589,10.993031088597654
19,scan_v20,0.9959016116070343,0.957,0.957,0.3906509530909771,0.32275732112769123,9.294909220085891,7.679489775368198
